# 20250521_174117 sorted.txt
Index	X	Y	Z
94	0.477767	-0.125596	0.0
95	0.477874	-0.121182	0.0
96	0.477941	-0.116776	0.0
97	0.477967	-0.112378	0.0
98	0.477953	-0.107988	0.0
99	0.477898	-0.103607	0.0
100	0.477804	-0.099235	0.0
101	0.477670	-0.094873	0.0
102	0.478478	-0.090706	0.0
103	0.478266	-0.086356	0.0
104	0.478015	-0.082016	0.0
105	0.476738	-0.077526	0.0
106	0.477395	-0.073368	0.0
107	0.477027	-0.069062	0.0
108	0.476619	-0.064768	0.0
109	0.477166	-0.060612	0.0
110	0.475690	-0.056217	0.0
111	0.475167	-0.051960	0.0
112	0.475602	-0.047818	0.0
113	0.476997	-0.043763	0.0
114	0.477360	-0.039604	0.0
115	0.476690	-0.035369	0.0
116	0.475982	-0.031148	0.0
117	0.476235	-0.026999	0.0
118	0.475454	-0.022800	0.0
119	0.475634	-0.018656	0.0
120	0.476778	-0.014541	0.0
121	0.475887	-0.010364	0.0
122	0.474959	-0.006203	0.0
123	0.474996	-0.002064	0.0
124	0.473995	0.002071	0.0
125	0.473959	0.006202	0.0
126	0.473887	0.010332	0.0
127	0.473779	0.014461	0.0
128	0.473635	0.018589	0.0
129	0.472457	0.022668	0.0
130	0.473239	0.026841	0.0
131	0.473985	0.031029	0.0
132	0.473697	0.035158	0.0
133	0.473373	0.039285	0.0
134	0.473012	0.043409	0.0
135	0.473611	0.047629	0.0
136	0.473178	0.051755	0.0
137	0.474695	0.056111	0.0
138	0.475180	0.060371	0.0
139	0.473645	0.064375	0.0
140	0.474056	0.068644	0.0
141	0.474428	0.072924	0.0
142	0.479697	0.078019	0.0
# 20250521_174144 sorted.txt
Index	X	Y	Z
93	0.477431	-0.134446	0.0
94	0.478584	-0.130280	0.0
95	0.477767	-0.125596	0.0
96	0.477874	-0.121182	0.0
97	0.477941	-0.116776	0.0
98	0.477967	-0.112378	0.0
99	0.477953	-0.107988	0.0
100	0.477898	-0.103607	0.0
101	0.477804	-0.099235	0.0
102	0.477670	-0.094873	0.0
103	0.478478	-0.090706	0.0
104	0.479250	-0.086533	0.0
105	0.478015	-0.082016	0.0
106	0.477725	-0.077686	0.0
107	0.477395	-0.073368	0.0
108	0.477027	-0.069062	0.0
109	0.477610	-0.064902	0.0
110	0.476174	-0.060486	0.0
111	0.476683	-0.056334	0.0
112	0.475167	-0.051960	0.0
113	0.476597	-0.047918	0.0
114	0.476997	-0.043763	0.0
115	0.476363	-0.039522	0.0
116	0.476690	-0.035369	0.0
117	0.475982	-0.031148	0.0
118	0.476235	-0.026999	0.0
119	0.475454	-0.022800	0.0
120	0.476633	-0.018695	0.0
121	0.476778	-0.014541	0.0
122	0.476887	-0.010385	0.0
123	0.474959	-0.006203	0.0
124	0.474996	-0.002064	0.0
125	0.473995	0.002071	0.0
126	0.473959	0.006202	0.0
127	0.473887	0.010332	0.0
128	0.473779	0.014461	0.0
129	0.473635	0.018589	0.0
130	0.472457	0.022668	0.0
131	0.474238	0.026897	0.0
132	0.473985	0.031029	0.0
133	0.473697	0.035158	0.0
134	0.473373	0.039285	0.0
135	0.473012	0.043409	0.0
136	0.473611	0.047629	0.0
137	0.473178	0.051755	0.0
138	0.474695	0.056111	0.0
139	0.475180	0.060371	0.0
140	0.473645	0.064375	0.0
141	0.474056	0.068644	0.0
142	0.474428	0.072924	0.0
143	0.480684	0.078180	0.0
